,0,1,2,3
2600,Rush Rush, Paula Abdul,spotify:track:015qd1I4v00JIoK7yOUgKC,1991
2601,"I Wanna Sex You Up (From ""New Jack City"")", Color Me Badd,spotify:track:3lsse1FoSHnNXc6y0jHxvd,1991
2602,More Than Words, Extreme,spotify:track:1gVgkQFOKa8Wc1HYsJtPdH,1991
2603,Losing My Religion, R.E.M.,spotify:track:31AOj9sFz2gM0O3hMARRBx,1991
2604,Love Is A Wonderful Thing, Michael Bolton,spotify:track:2LCIRBYUBMFy9hL81qthi1,1991
2605,Unbelievable, EMF,spotify:track:5VYTKiOnHw4iTrB9pG3yum,1991
2606,Power Of Love/Love Power, Luther Vandross,spotify:track:6ep87j7rt6j8Fok55N9NOs,1991
2607,Strike It Up, Black Box,spotify:track:1ZMCV2gvlyUjZZYpVPjEJD,1991
2608,I Dont Wanna Cry, Mariah Carey,spotify:track:1hFtJ5rV3aAm58ErijHdFO,1991
2609,"Right Here, Right Now", Jesus Jones,spotify:track:3fcGGP62sllcNEhuFJVYeC,1991
2610,Couple Days Off, Huey Lewis & The News,spotify:track:37QYKL0HcPLG3I1zQrttP5,1991
2611,Playground, Another Bad Creation,spotify:track:0e3dpXiKdTHRNXZHdfM2JM,1991
2612,Here I Am (Come And Take Me), UB40,spotify:track:6YR2MkzMhojHBmW1TbXtZO,1991
2613,I Like The Way (The Kissing Game), Hi-Five,spotify:track:7Irxs7jhvE4egHWa1D4o9L,1991
2614,Gypsy Woman (Shes Homeless), Crystal Waters,spotify:track:1SShxVVBeZBCY7WddnksPz,1991
2615,Walking In Memphis, Marc Cohn,spotify:track:5fgkjhICZnqFctrV0AyuQD,1991
2616,We Want The Funk, Gerardo,spotify:track:2H2DEIShDY2sCjTiFJIEPt,1991
2617,How Can I Ease The Pain, Lisa Fischer,spotify:track:24LlWhWXorT9R81J2vaA9H,1991
2618,Place In This World, Michael W. Smith,spotify:track:0PKTBeN87JYJ1mRzrq5Aog,1991
2619,Mama Said Knock You Out, LL Cool J,spotify:track:6C7ZgThn6Yan5MTZdAEEFw,1991
2620,Do You Want Me, Salt-N-Pepa,spotify:track:2iXqaccRqW6vqvqqBgOuug,1991
2621,Piece Of My Heart, Tara Kemp,spotify:track:1jRAg7uqdsm5VYKKeEVKVd,1991
2622,Lily Was Here, David A. Stewart Introducing Candy Dulfer,N/A,1991
2623,Never Gonna Let You Down, Surface,spotify:track:4V0s4tCAluvZWPEAIodihi,1991
2624,A Better Love, Londonbeat,spotify:track:1fALXFVWhnXVME9MNCQmt1,1991
2625,Ill Never Let You Go, Steelheart,spotify:track:2GeCfHlX5hfFKcy1aICNwR,1991
2626,P.A.S.S.I.O.N., Rhythm Syndicate,N/A,1991
2627,Love At First Sight, Styx,spotify:track:1kwvV2LoPN0S7d66WeyTdY,1991
